instruction,(製品の)使用書、指示、教育
vague,あいまいな、不明確な
ministry,省
evidence,証拠、根拠、証言
via,～の手段によって、～経由で
blast,爆発、爆破、突風
due,支払期日になって、（当然）支払われる（べき）
bill,請求書、法案、紙幣
previously,以前に
thaw,解凍される、溶ける
concede,（しぶしぶ）…と認める
encounter,に遭遇する
disregard,を無視する、を軽視する
ruin,を台無しにする、を駄目にする
ecosystem,生態系
contaminate,を汚染させる、を汚す、を堕落させる
shame,残念［遺憾］なこと、恥、不名誉
vehicle,車、（特に陸上の）乗り物、輸送機関、伝達手段
enhance,を増す、を高める
construct,(建物など)を建設する、(機械など)を組み立てる
critical,批判的な、重大な
manufacture,を（大量に）生産［製造］する
infrastructure,インフラ、基本的施設、経済基盤
reinforce,を補強する、を強化する
intense,極度の、激しい
misleading,誤解させる、紛らわしい
assistance,援助、支援
criminal,犯人、犯罪者
intend,～することを意図する
exceed,を超える、に勝る
tax,税金、税
chief,主な、最高位の
candidate,候補者、志願者
hinder,を妨げる、を邪魔する
fusion,融合（物）、（政党などの）連立
ensure,…ということを確実にする、を保証する
exhale,（息・煙・言葉など）を吐き出す
sufficient,十分な
despite,～にもかかわらず
cholesterol,コレステロール
occur,（予期しない出来事が）起こる
nest,（鳥の）巣
curse,呪い、呪文、ののしり言葉
cruel,残酷な
specific,明確な、特定の
habitat,（動植物の）生息場所、（人の）居住地
overlap,（時間などが）一部かち合う、部分的に重複［共通］する
excel,優れている、に勝る
pose,（問題など）を引き起こす、を提起する
justice,正義、公正、司法、裁判
diagram,図（表）、グラフ
aside,脇に、別にして、考慮に入れないで
fragile,壊れやすい、もろい
signature,署名、サイン
facilitate,を促進する、を容易にする
consecutive,連続した
stroll,ぶらぶら歩く、散歩する
combat,を撲滅しようとする、と交戦する
drag,を引きずる
resident,居住者
sturdy,頑丈な、たくましい、不屈の
massive,大量の、大規模な、巨大な
swell,増大する、腫れる
fare,（乗り物の）運賃、料金
civilization,文明
supply,生活必需品、供給、支給
counterfeit,偽造の、偽の
employment,雇用、職
atmosphere,雰囲気、大気（圏）
fragment,破片、かけら
inspire,に創造的刺激を与える、を奮起させる
generous,気前のよい、寛大な
pledge,を誓う、を誓約する
withstand,に耐える、に逆らう
downfall,破滅、転落、（雨・雪などの）大降り
autonomous,自治の、自主的な
mold,カビ
horizontal,水平な
monopoly,（商品・事業などの）独占、独占権
removal,除去、移動
postpone,を延期する
conventional,伝統的な、型にはまった
likelihood,可能性、見込み
imply,…と暗に示す、をほのめかす
decode,（暗号・符号）を解読する
dioxide,二酸化物
narrative,話、物語
typically,通常、概して、典型的に
rebel,反抗する、反逆する
measure,措置、程度、基準
overdo,を使い過ぎる、をやり過ぎる
shallow,浅薄な、浅い
collision,衝突、対立
underestimate,を過小評価する
gently,優しく、静かに
labor,労働、労働力
barrier,障害（物）、障壁
endeavor,～しようと（懸命に）努力する、を（真剣に）試みる
dictate,を命令する、を決定づける、を書き取らせる
quantity,分量、量
prove,であることがわかる、と判明する、を証明する
crucial,重大な、決定的な
sociology,社会学
circuit,周回すること、回路、巡回
diameter,直径
victim,被害者、（病気・事故などの）犠牲者
session,会議、集会、会期
infant,幼児、乳児
penetrate,を貫く、の内部に入る、に浸透する
ancestor,先祖、祖先
weapon,兵器、武器
disgust,嫌悪、反感
gross,総計の、全体の
token,（気持ちなどの）しるし、記念品
simplify,を簡単にする
verify,の正しさを確認する、を実証する
swarm,大群
obstacle,障害（物）
ecologist,生態学者、環境保護論者
remarkable,…と述べる
roam,歩き回る、放浪する
weed,雑草、草
biased,偏った、偏見を持った
engage,を従事させる、を引きつける、を雇う
mandatory,義務的な、強制的な、命令の
legally,法的に、合法的に
overthrow,（政府・体制など）を打倒する
scheme,計画、陰謀
coverage,入江、小湾
depth,深さ、深み
description,描写、説明
awful,ひどい、不愉快な
spontaneous,自然発生的な、自発的な
administer,を管理する、を経営する、を治める、（治療）を施す
exile,（国外）追放、（国外）追放者、亡命者
buzz,（場所が）ざわつく、どよめく
demonstrate,を実演してみせる、を論証［証明］する
import,を輸入する
guidance,指導、案内
solid,確実な、固体の、頑丈な
injury,傷害、けが
quote,が～を述べたと伝える、を引用する
deceive,をだます
outrageous,法外な、途方もない、けしからぬ
commit,（罪・過失など）を犯す、を委託する
termite,シロアリ
invisible,見えない
loyal,忠実な
graphic,図、挿絵
funeral,葬式
stroke,脳卒中、（強い）発作、（武器などで）打つこと
acoustic,音響（学）の、聴覚の
scan,をざっと見る、を注意深く眺め回す
underground,地下の、秘密の
artificial,人工の、不自然な
promotion,昇進、促進、販売促進
intensive,集中的な、徹底的な
domestic,国内の、家庭の
participation,参加
transparent,透明な、見えすいた
refund,返金、払い戻し（金）
enterprise,事業、企業
coincidence,偶然の一致
upbringing,（子供の）養育、しつけ
urgent,緊急の、切迫した
premature,早過ぎる、（判断などが）早まった
primarily,主として、初めに
solitary,ひとりの、孤独の
wither,（植物などが）しおれる
commendable,賞賛されるべき、立派な
replicate,（同一実験など）を繰り返す、を複製する
counterpart,対応［相当］する人［もの］
diploma,卒業［修了］証書、（学位・資格の）証明書
coastal,沿岸（地方）の
suppress,(思い・感情など)を抑える、(暴動など)を制圧する
